Адрес;Этажей в доме;Подъездов;Срок сдачи;Застройщик;Микрорайон;Фото;Долгота;Широта
Зеленая, 3/1 (3 пусковой);5;3;сдан;СтройПанельКомплект;Лобаново;http://an-rakurs.ru/img/homes/zelenaya-3-1.jpg;56.27823477610948;57.863993347279894
Зеленая, 3/1 (2 пусковой);5;3;сдан;СтройПанельКомплект;Лобаново;http://an-rakurs.ru/img/homes/zelenaya-3-1-2-puskovoy.jpg;56.27745492383835;57.86406508875446
Калинина, 42;16;4;4 кв 2015 г;Трест 14;Нижняя Курья;http://an-rakurs.ru/img/homes/kalinina-42.jpg;56.01910186931496;58.03041826759859
Калинина, 46;16;4;4 кв 2015 г;Оптимум;Нижняя Курья;http://an-rakurs.ru/img/homes/kalinina-46.jpg;56.01945139467718;58.031072051778516
Калинина, 64/1;17;1;2 кв 2015 г;Проспект;Нижняя Курья;http://an-rakurs.ru/img/homes/kalinina-64-1.jpg;56.021837554872064;58.03414570815713
Карбышева, 43 (1 очередь);17;1;3 кв 2016 г;Развитие;Гайва;http://an-rakurs.ru/img/homes/karbysheva-43-1-och.jpg;56.31193974986674;58.109464552965704
Карбышева, 43 (2 очередь);17;1;3 кв 2017 г;Развитие;Гайва;http://an-rakurs.ru/img/homes/karbysheva-43-2-och.jpg;56.31171444430952;58.10951850043269
Кедровая, 18;5;3;1 кв 2015 г;Ладный Дом Урал;Култаево;http://an-rakurs.ru/img/homes/kedrovaya-18.jpg;55.92347189784053;57.89193976380696
Кедровая, 18 (2 очередь);5;3;4 кв 2015 г;Ладный Дом Урал;Култаево;http://an-rakurs.ru/img/homes/kedrovaya-18-2och.jpg;55.92339679598809;57.891571246041124
Ким, 101;19;1;2 кв 2016 г;Орсо Групп;Садовый;http://an-rakurs.ru/img/homes/kim-101.jpg;56.28789005801083;58.01737724926058
Ким, 63;10;1;3 кв 2015 г;Стройком;Рабочий поселок;http://an-rakurs.ru/img/homes/kim-63.jpg;56.29656298086051;58.02270560778326
Красногвардейская, 27;10;2;2 кв 2015 г;Прогресс-Строй;Висим;http://an-rakurs.ru/img/homes/krasnogvardeyskaya-27.jpg;56.327007226645975;58.02991440452052
Кустовая, 2а;15;1;3 кв 2016 г;Стрижи;Загарье;http://an-rakurs.ru/img/homes/kustovaya-2a.jpg;56.27136966213587;57.970509078292956
Левченко, 21;9;1;2 кв 2016 г;ГК Горизонт;Левченко;http://an-rakurs.ru/img/homes/levchenko-21.jpg;56.22191375121481;57.99001948152916
Окулова, 61, 62;25;2;3 кв 2015 г;СГ УралСервис;Центр;http://an-rakurs.ru/img/homes/okulova-61.jpg;56.20117943733933;58.010978003398
Ольховская, 24 (1 очередь);5;3;3 кв 2016 г;СК Квартал;Камский;http://an-rakurs.ru/img/homes/olhovskaya-24-1-och.jpg;56.369547229260185;58.0961070168831
Переселенческая, 102;9;2;3 кв 2015 г;Камская Долина;Парковый ;http://an-rakurs.ru/img/homes/pereselencheskaya-102.jpg;56.1795452423394;57.99584844792678
Переселенческая, 104;13;2;1 кв 2016 г;Камская Долина;Парковый;http://an-rakurs.ru/img/homes/pereselencheskaya-104.jpg;56.180474795401125;57.996028788056826
Переселенческая, 111;17;1;сдан;Империал-трейд;Парковый;http://an-rakurs.ru/img/homes/pereselencheskaya-111.jpg;56.18088433519007;57.99669815707277
Переселенческая, 98;13;2;2 кв 2017 г;Камская Долина;Парковый;http://an-rakurs.ru/img/no_img.jpg;56.17881165817383;57.99674381968762
Переселенческая, 100;13;3;1 кв 2017 г;Камская Долина;Парковый;http://an-rakurs.ru/img/no_img.jpg;56.179106701165445;57.99629831741045
Ракитная, 42;10;3;2 кв 2017 г;СтройПанельКомплект;Кислотные дачи;http://an-rakurs.ru/img/homes/rakitnaya-42.jpg;56.400552894920146;58.09062344805867
Подлесная, 43а (1 очередь);18;2;4 кв 2015 г;Талан;Парковый;http://an-rakurs.ru/img/homes/podlesnaya-43a.jpg;56.16347797214987;57.99650891918032
Пушкина, 10;22;1;4 кв 2016 г;СтройПанельКомплект;Островский;http://an-rakurs.ru/img/homes/pushkina-10.jpg;56.26225082203748;58.01136451029988
Решетникова, 18;6;1;3 кв 2015 г;СИМ-ГРУПП;Центр;http://an-rakurs.ru/img/homes/reshetnikova-18.jpg;56.20700385421519;58.009975948726144
Самаркандская, 143;19;3;4 кв 2015 г;Камская Долина;Юбилейный;http://an-rakurs.ru/img/homes/samarkandskaya-143.jpg;56.29561197012663;57.98706283926372
Самаркандская, 145;20;2;1 кв 2015 г;Камская Долина;Юбилейный;http://an-rakurs.ru/img/homes/samarkandskaya-145.jpg;56.29555849358441;57.98654420636712
Подводников, 88а;17;1;4 кв 2016 г;СГ УралСервис;Подводников;http://an-rakurs.ru/img/homes/podvodnikov-88a.jpg;56.19474800303579;57.97336715647067
Светлогорская, 11/15;16;3;4 кв 2015 г;ГК Кудесник;Нижняя Курья;http://an-rakurs.ru/img/homes/svetlogorskaya-11-15.jpg;56.03540517389777;58.03867603558519
