Тип школы;Школа;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 114";г.Пермь, ул.Крупской, 92;282-31-04;Директор: Федотова Валентина Васильевна;http://школа114.рф;56.298937;57.993811
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 115";г.Пермь, ул.Баумана, 27;221-79-90;Директор: Шевченко Зинаида Яковлевна;http://school115pm.ucoz.ru;56.185381;57.982217
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 116";г.Пермь, ул.Техническая, 10;282-67-47;Директор: Лопарев Денис Валерьевич;http://www.mousosh116.wix.com/home;56.287618;58.013707
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 118";г.Пермь, ул.Колыбалова, 44;263-23-18;Директор: Трусова Виктория Рудольфовна;http://perm118.h16.ru/;56.352396;58.037279
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 119";г.Пермь, ул.Липатова, 2;282-74-99;Директор: Кадочникова Татьяна Федоровна;http://s119.ru;55.967890;58.006779
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 120";г.Пермь, ул.Рабочая, 13;237-95-10;Директор: Дубровина Эллина Николаевна;http://www.school120.edusite.ru;56.196493;57.996215
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 121";г.Пермь, ул.Победы,46;251-41-21;Директор: Прямичкина Елена Владимировна;http://www.school121.com;55.925642;58.006893
Статусная;МАОУ "Средняя общеобразовательная школа № 122 с углубленным изучением иностранных языков";г.Пермь, ул.Сивкова, 3 б;280-29-29;Директор: Терехин Алексей Юрьевич;http://school-122.ru;56.221233;57.982723
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 123";г.Пермь, ул.Сестрорецкая, 13;263-89-73;Директор: Слободян Виталий Николаевич;http://vshkole123.ru/;56.438877;58.149303
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 124";г.Пермь, ул.Гусарова, 4;269-51-18;Директор: Кожухар Галина Петровна;http://school124.land.ru;56.223479;57.963546
