Район;Адрес;Комнат;Площадь;Этаж;Этажей в доме;Цена;Срок сдачи;Фото;url;Долгота;Широта
Ленинский;Механошина 17;3;90;7;17;2300;сутки;http://86.img.avito.st/140x105/1658250486.jpg;/perm/kvartiry/3-k_kvartira_90_m_717_et._569432384;56.235255;58.000665
Индустриальный;Комбайнеров 39б;3;62;8;16;25000;месяц;;/perm/kvartiry/3-k_kvartira_62_m_816_et._545859094;56.184824;57.975904
Дзержинский;Связистов ,26;1;32;3;5;15000;месяц;http://25.img.avito.st/140x105/702920325.jpg;/perm/kvartiry/1-k_kvartira_32_m_35_et._293593292;56.221179;57.995242
Свердловский;1-я Красноармейская 3;2;65;14;16;20000;месяц;http://11.img.avito.st/140x105/1550382711.jpg;/perm/kvartiry/2-k_kvartira_65_m_1416_et._504823167;56.266741;58.003359
Мотовилихинский;ул.Целинная, д. 41;1;40;3;16;12000;месяц;http://40.img.avito.st/140x105/1657600040.jpg;/perm/kvartiry/1-k_kvartira_40_m_316_et._569370842;56.352081;58.051979
Свердловский;глеба успенского 16;1;41;4;10;1200;сутки;http://89.img.avito.st/140x105/1377007289.jpg;/perm/kvartiry/1-k_kvartira_41_m_410_et._499002377;56.240834;57.998118
Мотовилихинский;ул. Уинская 37;1;47;4;25;12000;месяц;http://80.img.avito.st/140x105/1488919280.jpg;/perm/kvartiry/1-k_kvartira_47_m_425_et._527995404;56.321763;58.005243
Дзержинский;г. Пермь, ул. Рабочая, 9а;1;42;18;19;15000;месяц;http://73.img.avito.st/140x105/1657946973.jpg;/perm/kvartiry/1-k_kvartira_42_m_1819_et._569341586;56.197715;57.994646
Мотовилихинский;ул. Уральская д.95;2;42;6;12;26000;месяц;http://10.img.avito.st/140x105/736611210.jpg;/perm/kvartiry/2-k_kvartira_42_m_612_et._304570541;56.286585;58.022425
Мотовилихинский;Макаренко;2;55;7;10;14000;месяц;http://82.img.avito.st/140x105/1657916182.jpg;/perm/kvartiry/2-k_kvartira_55_m_710_et._569330024;56.293341;58.009396
Свердловский;Брестская 5;2;45;2;2;15000;месяц;http://24.img.avito.st/140x105/1655134424.jpg;/perm/kvartiry/2-k_kvartira_45_m_22_et._568562920;56.232713;57.95795
Индустриальный;Карпинского 51;2;47;2;5;18000;месяц;http://15.img.avito.st/140x105/1657875215.jpg;/perm/kvartiry/2-k_kvartira_47_m_25_et._569318904;56.218861;57.981659
Мотовилихинский;тц кит;1;34;4;5;12500;месяц;;/perm/kvartiry/1-k_kvartira_34_m_45_et._569317403;56.234195;58.010259
Свердловский;Елькина, 41;3;72;4;10;18000;месяц;http://88.img.avito.st/140x105/1657875788.jpg;/perm/kvartiry/3-k_kvartira_72_m_410_et._569316241;56.240789;57.993095
Мотовилихинский;Студенческая;2;46;3;5;1500;сутки;http://58.img.avito.st/140x105/1440712458.jpg;/perm/kvartiry/2-k_kvartira_46_m_35_et._516112642;56.286019;58.011499
Ленинский;25 октября 17;2;65;8;9;35000;месяц;http://53.img.avito.st/140x105/1600030553.jpg;/perm/kvartiry/2-k_kvartira_65_m_89_et._545297931;56.250464;58.012524
Кировский;кировоградская12/2;2;48;3;10;16000;месяц;;/perm/kvartiry/2-k_kvartira_48_m_310_et._569305358;55.947211;57.994545
Свердловский;ул. Плеханова, д. 66;2;65;7;16;1500;сутки;http://85.img.avito.st/140x105/1290176985.jpg;/perm/kvartiry/2-k_kvartira_65_m_716_et._480048121;56.208899;57.99735
Мотовилихинский;Бульвар Гагарина, 36;1;25;6;15;13000;месяц;http://47.img.avito.st/140x105/1657820847.jpg;/perm/kvartiry/1-k_kvartira_25_m_615_et._569298497;56.281276;58.008743
Свердловский;Народовольческая,33;1;32;2;5;1000;сутки;http://79.img.avito.st/140x105/1413083279.jpg;/perm/kvartiry/1-k_kvartira_32_m_25_et._508836142;56.272823;58.007422
Мотовилихинский;Крупской 69/1 СОБСТВЕННИК;2;46;5;5;17000;месяц;http://75.img.avito.st/140x105/1646505475.jpg;/perm/kvartiry/2-k_kvartira_46_m_55_et._566362367;56.292325;58.001719
Кировский;ул.Закамская, д.58;2;60;4;4;12000;месяц;http://85.img.avito.st/140x105/1657709185.jpg;/perm/kvartiry/2-k_kvartira_60_m_44_et._569260805;55.962527;58.00613
Мотовилихинский;Анри Барбюса,51;1;46;12;14;12000;месяц;;/perm/kvartiry/1-k_kvartira_46_m_1214_et._569236375;56.305243;58.02985
Кировский;ул. Ямпольская, д 7;2;60;5;5;10000;месяц;;/perm/kvartiry/2-k_kvartira_60_m_55_et._569248987;55.964449;58.013173
Кировский;ул.Ушакова,д.21;3;18;16;16;8500;месяц;;/perm/kvartiry/3-k_kvartira_18_m_1616_et._569243926;56.027269;58.034125
Свердловский;улица Революции, 5;3;64;6;9;28000;месяц;http://06.img.avito.st/140x105/1460117806.jpg;/perm/kvartiry/3-k_kvartira_64_m_69_et._521056978;56.272455;58.006402
Свердловский;Советская 39;2;45;6;8;15000;месяц;http://77.img.avito.st/140x105/1669485677.jpg;/perm/kvartiry/2-k_kvartira_45_m_68_et._569235361;56.239316;58.01487
Мотовилихинский;Макаренко, 14;1;32;3;5;10000;месяц;;/perm/kvartiry/1-k_kvartira_32_m_35_et._552863440;56.299719;58.013001
Мотовилихинский;Вышка 2, Гашкова 22;2;44;1;5;10000;месяц;http://06.img.avito.st/140x105/1657598106.jpg;/perm/kvartiry/2-k_kvartira_44_m_15_et._569223683;56.349836;58.062097
Дзержинский;Монастырская 157;2;42;1;5;10000;месяц;http://23.img.avito.st/140x105/1657565023.jpg;/perm/kvartiry/2-k_kvartira_42_m_15_et._569220289;56.20235;58.00932
Свердловский;Клары Цеткин 25;1;30;6;12;10000;месяц;http://04.img.avito.st/140x105/1657575104.jpg;/perm/kvartiry/1-k_kvartira_30_m_612_et._569217582;56.239891;57.990176
Мотовилихинский;БУЛЬВАР ГАГАРИНА 26;1;43;14;18;11000;месяц;http://79.img.avito.st/140x105/1657563779.jpg;/perm/kvartiry/1-k_kvartira_43_m_1418_et._569212204;56.278653;58.012252
Ленинский;ул. Окулова, д. 18;0;60;3;25;30000;месяц;http://44.img.avito.st/140x105/1688891444.jpg;/perm/kvartiry/studiya_60_m_325_et._569211487;56.222257;58.014484
Дзержинский;Овчинникова 17;2;56;4;10;20000;месяц;http://05.img.avito.st/140x105/1657552105.jpg;/perm/kvartiry/2-k_kvartira_56_m_410_et._569208648;56.223326;57.994121
Кировский;ул.Юнг Прикамье 29;3;52;2;2;14000;месяц;;/perm/kvartiry/3-k_kvartira_52_m_22_et._569206558;56.025768;58.033896
Орджоникидзевский;ул. Воркутинская, д. 84;1;31;5;5;12000;месяц;;/perm/kvartiry/1-k_kvartira_31_m_55_et._569207831;56.301749;58.116161
Орджоникидзевский;ул. Янаульская д. 28;2;69;9;10;12000;месяц;http://87.img.avito.st/140x105/1657515087.jpg;/perm/kvartiry/2-k_kvartira_69_m_910_et._569198783;56.303509;58.099385
Ленинский;ул. Ленина, д. 80;0;30;2;5;18000;месяц;;/perm/kvartiry/studiya_30_m_25_et._524166399;56.2149;58.006831
Свердловский;Комсомольский проспект, д.92, кв.35;3;58;2;5;38000;месяц;http://59.img.avito.st/140x105/1671407259.jpg;/perm/kvartiry/3-k_kvartira_58_m_25_et._549838085;56.253671;57.98863
Дзержинский;пр. Парковый, 37/в;3;60;8;9;25000;месяц;http://01.img.avito.st/140x105/1657448901.jpg;/perm/kvartiry/3-k_kvartira_60_m_89_et._569174857;56.168367;57.998247
Свердловский;Героев хасана 149 б;1;20;1;5;7000;месяц;;/perm/kvartiry/1-k_kvartira_20_m_15_et._569173856;56.272931;57.944625
Кировский;Адмирала Нахимова, 19;1;34;3;5;1150;сутки;http://13.img.avito.st/140x105/1398714213.jpg;/perm/kvartiry/1-k_kvartira_34_m_35_et._504874586;55.950031;58.003193
Кировский;Чистопольская, 15;1;29;2;5;1300;сутки;;/perm/kvartiry/1-k_kvartira_29_m_25_et._488168302;55.938677;57.996329
Индустриальный;Карпинского 106;2;60;12;16;27000;месяц;http://87.img.avito.st/140x105/832226687.jpg;/perm/kvartiry/2-k_kvartira_60_m_1216_et._339996413;56.205252;57.971451
