Детский сад;Адрес;Телефон;Заведующий;Сайт;Долгота;Широта
МАДОУ "Центр развития ребенка - детский сад № 221";г.Пермь, ул. Хрустальная, 13а;260-20-74;Заведующий: Самарина Алевтина Геннадьевна;;56.308423;58.026705
МАДОУ "Центр развития ребенка - детский сад № 239";г.Пермь, ул. Фонтанная, 9а;216-72-45;Заведующий: Сыстерова Ольга Михайловна;http://detsad239.narod.ru/;56.274386;58.000813
МАДОУ "Центр развития ребёнка - детский сад № 252";г.Пермь, ул. Автозаводская, 55;283-22-83;Заведующий: Оносова Ольга Николаевна;http://www.ds252.ru;55.953122;58.010135
МАДОУ "Центр развития ребенка - детский сад № 268";г.Пермь, ул.Петропавловская, 80;236-77-68;Заведующий: Астанаева Юлия Алексеевна;http://mdou268.ru/;56.200006;58.005505
МБДОУ "Центр развития ребёнка - детский сад №269";г.Пермь, ул. Героев Хасана, 13а. ул. Комсомольский пр., 88 Б;280-93-86.280-93-84 (Р±СѓС…), 281-11-37 (РљРѕРјСЃ.РїСЂ.);Заведующий: Дудорова Людмила Михайловна;http://www.sad269.flydes.ru;56.264397;57.954884
МАДОУ "Центр развития ребенка - детский сад № 272";г.Пермь, ул. Халтурина, 16;260-37-79;Заведующий: Посохина Елена Геннадьевна;;56.295892;58.017234
МАДОУ "Центр развития ребенка - детский сад № 29";г. Пермь, ул. Екатерининская, 121;236-56-67;Заведующий: Лецких Лариса Вениаминовна;http://www.detsad29-perm.ru;56.224700;58.005448
МАДОУ "Центр развития ребенка - детский сад № 298";г.Пермь, ул. Техническая, 16;265-99-30;Заведующий: Юрченко Елена Михайловна;;56.289217;58.013101
МАДОУ "Центр развития ребенка - детский сад № 335";г.Пермь, ул. Охотников, 8;251-62-74;Заведующий: Колесникова Галина Борисовна;;55.929711;58.001585
МАДОУ "Центр развития ребенка - детский сад № 355 "Чулпан";г.Пермь, ул. Аркадия Гайдара, 11а;261-48-25;Заведующий: Пак Фавзия Сунгатовна;http://www.chulpansad.ru;56.296000;57.998633
МАДОУ "Центр развития ребенка - детский сад № 371";г.Пермь, ул. Стахановская, 6а;280-47-16, 280-29-43;Заведующий: Казанцева Оксана Юрьевна;http://www.sad371.perm.ru;56.224368;57.986297
МАДОУ "Центр развития ребенка - детский сад № 378";г.Пермь, ул. Газонная, 1;284-27-88;Заведующий: Бояршинова Светлана Леонидовна;http://www.ds378.perm.ru;56.379058;58.110156
МБДОУ "Центр развития ребенка - детский сад № 387";г.Пермь, ул. Чехова, 16;265-99-51;Заведующий: Деменева Любовь Михайловна;http://mdou387teremok.narod2.ru/;56.304965;58.024012
МАДОУ "Центр развития ребенка - детский сад № 394";г.Пермь, ул. Гайвинская, 16;274-42-64;Заведующий: Сереброва Наталья Владимировна;http://petushok.ucoz.ru/;56.299063;58.106271
МАДОУ "Центр развития ребенка - детский сад № 397";г.Пермь, ул. Ивановская, 18;260-26-93;Заведующий: Дюпина Ольга Леонидовна;http://www.ds397.perm.ru;56.310211;58.029426
МАДОУ "Центр развития ребенка - детский сад № 40";г.Пермь, ул. Юрша, 64а;266-45-55;Заведующий: Корнина Ирина Владимировна;http://www.ds40.perm.ru/;56.311370;58.007008
МАДОУ "Центр развития ребенка - детский сад № 400";г.Пермь, ул. Карбышева, 78а;285-29-06;Заведующий: Голубцова Марина Леонтьевна;http://www.sad400.perm.ru;56.284780;58.110684
МАДОУ "Центр развития ребенка - детский сад № 410";г.Пермь, ул. Танцорова, 28;250-25-49;Заведующий: Канашина Вера Владимировна;;56.018366;58.022745
МБДОУ "Центр развития ребенка - детский сад № 411";г.Пермь, ул. Целинная, 11а;267-09-59;Заведующий: Фадеева Елена Владимировна;;56.361523;58.064811
МБДОУ "Центр развития ребенка - детский сад № 415";г.Пермь, ул. Целинная, 29а;267-07-55;Заведующий: Радостева Зоя Трофимовна;;56.352593;58.056731
МАДОУ "Центр развития ребенка - детский сад № 417";г.Пермь, ул. Вижайская, 14а;269-51-81;Заведующий: Васечкина Любовь Леонидовна;;56.236387;57.965737
МАДОУ "Центр развития ребенка - детский сад № 46";г.Пермь, ул. Чайковского, 6а;227-77-27;Заведующий: Борисова Наталья Владимировна;http://www.ds46.perm.ru;56.202916;57.986722
МАДОУ "Центр развития ребенка - детский сад № 49";г.Пермь, ул. Бушмакина, 22;275-69-49,284-68-51;Заведующий: Князева Анна Валерьевна;http://www.romashka.flaydes.ru;56.395218;58.085347
МДОУ "Центр развития ребенка - детский сад № 57";г.Пермь, бульвар Гагарина, 79а;282 - 17 -97;Заведующий: и.о.Трошкова Ирина Анатольевна;;56.289136;58.000059
МАДОУ "Центр развития ребенка - детский сад № 69";г.Пермь, ул. Гатауллина, 7а;269-56-51;Заведующий: Бельтюкова Людмила Геннадьевна;http://www.dsad69.perm.ru;56.240564;57.961645
